ts,price,volume
,TCS.BO,TCS.BO
2025-11-07 03:45:00+00:00,2985.85009765625,0
2025-11-07 03:46:00+00:00,2974.75,974
2025-11-07 03:47:00+00:00,2977.89990234375,1469
2025-11-07 03:48:00+00:00,2979.0,566
2025-11-07 03:49:00+00:00,2976.699951171875,846
2025-11-07 03:50:00+00:00,2973.0,2548
2025-11-07 03:51:00+00:00,2975.0,1077
2025-11-07 03:52:00+00:00,2971.0,1022
2025-11-07 03:53:00+00:00,2964.35009765625,2625
2025-11-07 03:54:00+00:00,2964.949951171875,1135
2025-11-07 03:55:00+00:00,2968.0,362
2025-11-07 03:56:00+00:00,2966.10009765625,816
2025-11-07 03:57:00+00:00,2971.550048828125,285
2025-11-07 03:58:00+00:00,2971.800048828125,323
2025-11-07 03:59:00+00:00,2972.89990234375,339
2025-11-07 04:00:00+00:00,2972.0,96
2025-11-07 04:01:00+00:00,2973.0,658
2025-11-07 04:02:00+00:00,2967.0,805
2025-11-07 04:03:00+00:00,2967.0,350
2025-11-07 04:04:00+00:00,2962.75,1187
2025-11-07 04:05:00+00:00,2962.64990234375,452
2025-11-07 04:06:00+00:00,2964.0,921
2025-11-07 04:07:00+00:00,2965.300048828125,1486
2025-11-07 04:08:00+00:00,2966.5,195
2025-11-07 04:09:00+00:00,2966.199951171875,359
2025-11-07 04:10:00+00:00,2967.699951171875,257
2025-11-07 04:11:00+00:00,2968.949951171875,129
2025-11-07 04:12:00+00:00,2968.699951171875,201
2025-11-07 04:13:00+00:00,2969.89990234375,376
2025-11-07 04:14:00+00:00,2971.35009765625,647
2025-11-07 04:15:00+00:00,2970.050048828125,136
2025-11-07 04:16:00+00:00,2970.14990234375,414
2025-11-07 04:17:00+00:00,2972.85009765625,242
2025-11-07 04:18:00+00:00,2971.199951171875,142
2025-11-07 04:19:00+00:00,2971.550048828125,144
2025-11-07 04:20:00+00:00,2972.60009765625,63
2025-11-07 04:21:00+00:00,2970.25,193
2025-11-07 04:22:00+00:00,2972.25,149
2025-11-07 04:23:00+00:00,2972.10009765625,109
2025-11-07 04:24:00+00:00,2970.0,715
2025-11-07 04:25:00+00:00,2969.199951171875,165
2025-11-07 04:26:00+00:00,2968.75,102
2025-11-07 04:27:00+00:00,2966.85009765625,591
2025-11-07 04:28:00+00:00,2968.14990234375,661
2025-11-07 04:29:00+00:00,2965.199951171875,385
2025-11-07 04:30:00+00:00,2961.800048828125,3562
2025-11-07 04:31:00+00:00,2962.14990234375,133
2025-11-07 04:32:00+00:00,2964.550048828125,108
2025-11-07 04:33:00+00:00,2963.35009765625,355
2025-11-07 04:34:00+00:00,2964.5,3092
2025-11-07 04:35:00+00:00,2964.75,96
2025-11-07 04:36:00+00:00,2968.5,125
2025-11-07 04:37:00+00:00,2967.449951171875,67
2025-11-07 04:38:00+00:00,2966.89990234375,90
2025-11-07 04:39:00+00:00,2965.89990234375,221
2025-11-07 04:40:00+00:00,2965.39990234375,72
2025-11-07 04:41:00+00:00,2966.89990234375,208
2025-11-07 04:42:00+00:00,2966.300048828125,83
2025-11-07 04:43:00+00:00,2966.800048828125,229
2025-11-07 04:44:00+00:00,2971.0,104
2025-11-07 04:45:00+00:00,2972.35009765625,221
2025-11-07 04:46:00+00:00,2973.0,129
2025-11-07 04:47:00+00:00,2973.35009765625,260
2025-11-07 04:48:00+00:00,2973.300048828125,137
2025-11-07 04:49:00+00:00,2973.85009765625,62
2025-11-07 04:50:00+00:00,2972.949951171875,193
2025-11-07 04:51:00+00:00,2971.949951171875,61
2025-11-07 04:52:00+00:00,2971.199951171875,262
2025-11-07 04:53:00+00:00,2971.60009765625,39
2025-11-07 04:54:00+00:00,2972.300048828125,106
2025-11-07 04:55:00+00:00,2971.0,108
2025-11-07 04:56:00+00:00,2971.5,108
2025-11-07 04:57:00+00:00,2970.89990234375,265
2025-11-07 04:58:00+00:00,2971.85009765625,46
2025-11-07 04:59:00+00:00,2972.0,52
2025-11-07 05:00:00+00:00,2969.25,156
2025-11-07 05:01:00+00:00,2969.75,111
2025-11-07 05:02:00+00:00,2970.199951171875,71
2025-11-07 05:03:00+00:00,2970.10009765625,168
2025-11-07 05:04:00+00:00,2973.60009765625,47
2025-11-07 05:05:00+00:00,2973.64990234375,258
2025-11-07 05:06:00+00:00,2973.300048828125,42
2025-11-07 05:07:00+00:00,2973.699951171875,51
2025-11-07 05:08:00+00:00,2970.449951171875,145
2025-11-07 05:09:00+00:00,2974.64990234375,155
2025-11-07 05:10:00+00:00,2975.0,175
2025-11-07 05:11:00+00:00,2975.050048828125,280
2025-11-07 05:12:00+00:00,2974.949951171875,77
2025-11-07 05:13:00+00:00,2976.0,299
2025-11-07 05:14:00+00:00,2975.949951171875,121
2025-11-07 05:15:00+00:00,2975.14990234375,79
2025-11-07 05:16:00+00:00,2977.64990234375,365
2025-11-07 05:17:00+00:00,2978.0,186
2025-11-07 05:18:00+00:00,2977.800048828125,189
2025-11-07 05:19:00+00:00,2977.0,50
2025-11-07 05:20:00+00:00,2976.0,45
2025-11-07 05:21:00+00:00,2975.89990234375,102
2025-11-07 05:22:00+00:00,2975.800048828125,58
2025-11-07 05:23:00+00:00,2975.199951171875,130
2025-11-07 05:24:00+00:00,2976.949951171875,109
2025-11-07 05:25:00+00:00,2976.800048828125,53
2025-11-07 05:26:00+00:00,2976.199951171875,160
2025-11-07 05:27:00+00:00,2976.0,17
2025-11-07 05:28:00+00:00,2975.0,111
2025-11-07 05:29:00+00:00,2975.0,85
2025-11-07 05:30:00+00:00,2976.60009765625,241
2025-11-07 05:31:00+00:00,2976.60009765625,34
2025-11-07 05:32:00+00:00,2976.14990234375,63
2025-11-07 05:33:00+00:00,2976.89990234375,51
2025-11-07 05:34:00+00:00,2976.550048828125,87
2025-11-07 05:35:00+00:00,2975.64990234375,13
2025-11-07 05:36:00+00:00,2974.60009765625,311
2025-11-07 05:37:00+00:00,2974.699951171875,31
2025-11-07 05:38:00+00:00,2976.300048828125,23
2025-11-07 05:39:00+00:00,2976.64990234375,66
2025-11-07 05:40:00+00:00,2976.75,98
2025-11-07 05:41:00+00:00,2977.699951171875,49
2025-11-07 05:42:00+00:00,2979.800048828125,75
2025-11-07 05:43:00+00:00,2978.5,60
2025-11-07 05:44:00+00:00,2979.35009765625,97
2025-11-07 05:45:00+00:00,2977.5,66
